algo,n,ms
quickhull,500000,45622
quickhull,500000,45475
quickhull,500000,45514
quickhull,500000,46033
quickhull,500000,45865
quickhull,500000,45573
quickhull,500000,46073
quickhull,500000,46273
quickhull,500000,45819
quickhull,500000,47293
quickhull,500000,46306
quickhull,500000,46132
quickhull,500000,44024
quickhull,500000,44242
quickhull,500000,44159
quickhull,500000,44301
quickhull,500000,44479
quickhull,500000,44924
quickhull,500000,44555
quickhull,500000,44478
quickhull,500000,45226
quickhull,500000,44803
quickhull,500000,44737
quickhull,500000,46544
quickhull,500000,44253
quickhull,500000,44282
quickhull,500000,45713
quickhull,500000,45949
quickhull,500000,45037
quickhull,500000,44786
quickhull,500000,46709
quickhull,500000,44849
quickhull,500000,45204
quickhull,500000,44932
quickhull,500000,44628
quickhull,500000,44816
quickhull,500000,44989
quickhull,500000,44726
quickhull,500000,44707
quickhull,500000,44754
quickhull,500000,45991
quickhull,500000,46063
quickhull,500000,46290
quickhull,500000,46192
quickhull,500000,46192
quickhull,500000,46172
quickhull,500000,46077
quickhull,500000,46481
quickhull,500000,46001
quickhull,500000,46108
quickhull,500000,46058
quickhull,500000,45942
quickhull,500000,46054
quickhull,500000,46000
quickhull,500000,43036
quickhull,500000,43398
quickhull,500000,42982
quickhull,500000,45062
quickhull,500000,43372
quickhull,500000,42979
quickhull,500000,47108
quickhull,500000,44987
quickhull,500000,43284
quickhull,500000,43001
quickhull,500000,43696
quickhull,500000,42636
quickhull,500000,43024
quickhull,500000,42959
quickhull,500000,43025
quickhull,500000,41565
quickhull,500000,41796
quickhull,500000,41080
quickhull,500000,41307
quickhull,500000,42444
quickhull,500000,41689
quickhull,500000,41569
quickhull,500000,42579
quickhull,500000,41574
quickhull,500000,41683
quickhull,500000,42566
quickhull,500000,41030
quickhull,500000,41089
quickhull,500000,42654
quickhull,500000,41362
quickhull,500000,50441
quickhull,500000,50153
quickhull,500000,50009
quickhull,500000,49847
quickhull,500000,49837
quickhull,500000,49968
quickhull,500000,50664
quickhull,500000,51024
quickhull,500000,50757
quickhull,500000,50439
quickhull,500000,49568
quickhull,500000,50553
quickhull,500000,54622
quickhull,500000,45636
quickhull,500000,45592
quickhull,500000,45531
